property_name,period,account_code,account_name,section_category,section_subcategory,proprietary_labeling,normalized_label,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12,total
Preserve at Greison Trail,Mar 2022 - Feb 2023,4015-0001,Garage Rent,Revenue,Rental Income,Other Income,Other Income,1993.55,2350.0,2540.17,2650.0,2616.13,2725.0,2641.67,2568.55,2950.0,2673.39,2739.52,2575.0,31022.98
Preserve at Greison Trail,Mar 2022 - Feb 2023,4015-0003,Storage Rent,Revenue,Rental Income,Other Income,Other Income,222.58,225.0,284.68,337.52,300.0,200.0,183.33,175.0,175.0,175.0,220.16,225.0,2723.27
Preserve at Greison Trail,Mar 2022 - Feb 2023,4016-0000,Pet Rent,Revenue,Rental Income,Other Income,Other Income,97.42,125.0,212.29,220.0,233.55,269.68,333.05,460.16,461.67,660.81,484.03,675.0,4232.66
Preserve at Greison Trail,Mar 2022 - Feb 2023,5207-0000,Landscaping,Expenses,Repairs & Maintenance,Contract,Contract,8000.0,4600.0,-675.0,0.0,20297.0,-12600.0,0.0,5785.0,0.0,6480.0,0.0,350.0,32237.0
Preserve at Greison Trail,Mar 2022 - Feb 2023,5209-0000,Pest Control,Expenses,Repairs & Maintenance,Contract,Contract,382.0,0.0,0.0,0.0,2110.0,382.0,382.0,454.62,443.0,1114.0,382.0,1578.0,7227.62
Preserve at Greison Trail,Mar 2022 - Feb 2023,5211-0045,Other Operations Expense,Expenses,Repairs & Maintenance,Contract,Contract,483.56,544.15,458.3,352.5,352.5,352.5,352.5,550.5,352.5,352.5,352.5,352.5,4856.51
Preserve at Greison Trail,Mar 2022 - Feb 2023,5211-0060,Contracts,Expenses,Repairs & Maintenance,Contract,Contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1645.0,-2420.42,-775.42
Preserve at Greison Trail,Mar 2022 - Feb 2023,5211-0064,Fire Protection / Life Safety Contract,Expenses,Repairs & Maintenance,Contract,Contract,0.0,0.0,5279.6,315.0,0.0,0.0,0.0,0.0,1859.5,0.0,0.0,6790.0,14244.1
Preserve at Greison Trail,Mar 2022 - Feb 2023,5211-0067,Landscape Contract,Expenses,Repairs & Maintenance,Contract,Contract,2115.0,2115.0,2115.0,2115.0,0.0,4230.0,2115.0,2115.0,2115.0,2115.0,4230.0,-1480.5,23899.5
Preserve at Greison Trail,Mar 2022 - Feb 2023,5211-0050,Security,Expenses,Repairs & Maintenance,Contract,Contract,375.0,375.0,-750.0,315.0,315.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,945.0
